PI,Diploid,Haploid,Haploid_frailty
BS39_DH_002,80.83333333,57.5,0.289236707
BS39_DH_003,53.33333333,21.66666667,0.59375
BS39_DH_005,65,34.16666667,0.444972826
BS39_DH_009,71.66666667,39.16666667,0.45326087
BS39_DH_010,49.16666667,27.5,0.440972222
BS39_DH_012,63.33333334,37.5,0.415277778
BS39_DH_013,78.33333334,50,0.363224638
BS39_DH_014,75.83333334,36.66666667,0.512820513
BS39_DH_016,75.83333334,45,0.404830918
BS39_DH_017,75.83333334,40.83333333,0.461211211
BS39_DH_018,77.5,47.5,0.387835338
BS39_DH_019,70.83333334,30,0.575
BS39_DH_020,75.83333333,34.16666667,0.549323017
BS39_DH_024,80.83333334,42.5,0.478036176
BS39_DH_025,67.5,35.83333334,0.489674594
BS39_DH_026,80.83333333,45.83333334,0.43706446
BS39_DH_027,84.16666667,48.33333334,0.426412873
BS39_DH_028,85.83333334,51.66666667,0.398567119
BS39_DH_029,66.66666667,36.66666667,0.457142857
BS39_DH_030,96.16666669,76.33333334,0.200270922
BS39_DH_032,80.83333334,59.16666667,0.267857143
BS39_DH_035,80,28.33333334,0.644347826
BS39_DH_036,92.5,32.5,0.648214286
BS39_DH_038,68.33333334,41.66666667,0.384019082
BS39_DH_040,84.16666667,39.16666667,0.533018868
BS39_DH_041,83.33333334,41.66666667,0.50020008
BS39_DH_042,59.66666667,30,0.497191011
BS39_DH_043,66.66666667,46.66666667,0.290383407
BS39_DH_044,92.5,45.83333334,0.501955672
BS39_DH_045,92.5,62.5,0.323538961
BS39_DH_046,95,45,0.530555556
BS39_DH_047,83.33333333,50,0.4
BS39_DH_048,56.66666667,35,0.383549784
BS39_DH_051,65.83333334,35,0.471042472
BS39_DH_052,66.66666667,29.16666667,0.559343435
BS39_DH_053,85,40.83333333,0.522333462
BS39_DH_054,81.66666667,35,0.581649832
BS39_DH_058,85,54.16666667,0.353649068
BS39_DH_060,125,80,0.363636364
BS39_DH_061,72.5,50,0.308059385
BS39_DH_063,103.3333333,74.16666667,0.282258065
BS39_DH_065,83.33333334,53.33333333,0.354166667
BS39_DH_066,82.5,32.5,0.624474348
BS39_DH_067,94.99999999,50.83333334,0.466191067
BS39_DH_068,88.33333334,60,0.318247127
BS39_DH_069,98.33333335,58.33333334,0.409722222
BS39_DH_070,76.33333334,34.16666667,0.552505509
BS39_DH_072,65,40.16666667,0.383552632
BS39_DH_075,105,62.5,0.406818182
BS39_DH_076,94.16666667,62.16666667,0.336539683
BS39_DH_085,98.33333332,58.33333334,0.40437788
BS39_DH_086,52.5,22.5,0.571572581
BS39_DH_088,75,34.16666667,0.534919029
BS39_DH_089,93.33333334,31.66666667,0.670512821
BS39_DH_091,90,52.5,0.408333333
BS39_DH_092,79.16666667,40,0.494186047
BS39_DH_093,88.33333333,56.66666667,0.358571429
BS39_DH_094,95,59.16666667,0.380555556
BS39_DH_098,81.16666667,58.33333333,0.281286895
BS39_DH_099,83.33333334,54.16666667,0.34040404
BS39_DH_101,99.16666667,65,0.347222223
BS39_DH_105,105,70,0.333333333
BS39_DH_108,89.16666667,64.16666667,0.280788178
BS39_DH_111,47.5,15.83333334,0.66375
BS39_DH_113,87.16666667,46.66666667,0.464683063
SHGD_DH_001,49.16666667,30.83333334,0.372119816
SHGD_DH_003,62.5,39.16666667,0.344444445
SHGD_DH_005,66.33333333,28.33333333,0.571988867
SHGD_DH_007,74.16666667,56.66666667,0.232269504
SHGD_DH_008,65,48.33333333,0.257894737
SHGD_DH_011,55,39.16666667,0.300569801
SHGD_DH_012,78.33333333,45.83333333,0.414893617
SHGD_DH_016,63.33333333,46.66666667,0.261363637
SHGD_DH_017,84.16666667,40.83333334,0.502405774
SHGD_DH_018,71.66666667,39.16666667,0.455592106
SHGD_DH_022,92.5,65,0.301561484
SHGD_DH_023,65.83333333,45.83333334,0.302310655
SHGD_DH_024,69.16666667,46.16666667,0.331395349
SHGD_DH_025,55,40,0.262672812
SHGD_DH_026,90.83333332,75.83333334,0.155456418
SHGD_DH_027,70,45.83333334,0.347986387
SHGD_DH_029,81.66666667,60,0.26625
SHGD_DH_032,61.66666667,40.83333334,0.334558824
SHGD_DH_033,54.16666667,21.66666667,0.605212356
SHGD_DH_034,71.66666667,59.16666667,0.174418605
SHGD_DH_035,60,37.5,0.373839009
SHGD_DH_036,65.83333333,45,0.322077922
SHGD_DH_037,70,33.33333333,0.523809524
SHGD_DH_039,60,49.16666667,0.190625
SHGD_DH_040,74.33333334,38.33333334,0.484445787
SHGD_DH_042,88,48.33333334,0.451036866
SHGD_DH_043,64.16666667,35,0.456756757
SHGD_DH_044,76.33333334,30.83333334,0.599321706
SHGD_DH_045,66.66666667,58.33333333,0.125
SHGD_DH_046,50.83333334,42.5,0.127815315
SHGD_DH_049,95.83333334,68.33333334,0.286751362
SHGD_DH_052,55,42.5,0.234615385
SHGD_DH_053,50.83333334,50,0.017204301
SHGD_DH_056,44.16666667,27.5,0.362170088
SHGD_DH_057,85,43.33333334,0.485380117
SHGD_DH_059,44.16666667,26.33333333,0.402729885
SHGD_DH_060,72.5,43.33333333,0.402219873
SHGD_DH_061,44.16666667,28.33333334,0.349137931
SHGD_DH_063,55,28.33333333,0.482949309
SHGD_DH_065,116.6666667,71.66666667,0.386424045
SHGD_DH_067,45.83333334,34.16666667,0.250661376
SHGD_DH_068,102.5,54.16666667,0.471575886
SHGD_DH_070,65.83333333,36.66666667,0.453246754
SHGD_DH_073,76.16666667,53.33333334,0.283171206
