PI,Diploid,Haploid,Haploid_frailty
BS39_DH_002,27.46666667,20.33333334,0.257734244
BS39_DH_003,33.16666667,23.66666667,0.286432161
BS39_DH_005,33.41666667,25.83333334,0.229032258
BS39_DH_009,27.05,26.83333333,-0.003390677
BS39_DH_010,37.21666667,35.5,0.044854818
BS39_DH_012,38,43.41666667,-0.166718362
BS39_DH_013,35.85,28.36666667,0.210249857
BS39_DH_014,24.76666667,17.7,0.28494312
BS39_DH_016,33.16666667,28.08333333,0.161960725
BS39_DH_017,26.33333334,21.33333334,0.187750521
BS39_DH_018,23.33333334,23.41666667,-0.000383142
BS39_DH_019,24.33333334,28.16666667,-0.157282283
BS39_DH_020,33,26.16666667,0.204656863
BS39_DH_024,34.83333334,21,0.388672599
BS39_DH_025,31.66666667,24,0.240471241
BS39_DH_026,39.08333333,27.41666667,0.297974104
BS39_DH_027,43.16666667,31.83333334,0.26791911
BS39_DH_028,19.73333334,19.75,-0.004613203
BS39_DH_029,31.35,24.25,0.21693837
BS39_DH_030,33.5,24.41666667,0.263356505
BS39_DH_032,31.91666667,27.5,0.113741015
BS39_DH_035,44.66666667,34.33333333,0.228543376
BS39_DH_036,46.08333334,36.7,0.204338228
BS39_DH_038,26.25,28.25,-0.077256743
BS39_DH_040,45.66666667,29.16666667,0.359795135
BS39_DH_041,21.05,23.75,-0.152602796
BS39_DH_042,35,18.43333333,0.473766918
BS39_DH_043,39.06666667,35.58333333,0.08690364
BS39_DH_044,32.91666667,23.08333334,0.302813987
BS39_DH_045,31.66666667,26,0.178947369
BS39_DH_046,29.3,28.9,0.010585644
BS39_DH_047,22.83333333,22.16666667,0.02919708
BS39_DH_048,27.83333333,17.16666667,0.382012725
BS39_DH_051,38.41666667,28.46666667,0.257543681
BS39_DH_052,22.91666667,22.53333334,0.004576436
BS39_DH_053,26.55,22,0.141750619
BS39_DH_054,31.5,32.08333334,-0.017637178
BS39_DH_058,32.76666667,18.78333333,0.410953271
BS39_DH_060,29.03333334,26.13333334,0.101771197
BS39_DH_061,38.5,29.83333333,0.225262369
BS39_DH_063,27.33333333,20.48333334,0.24801936
BS39_DH_065,28.5,23.05,0.167982582
BS39_DH_066,25,21.16666667,0.142003923
BS39_DH_067,29.08333334,21.76666667,0.236033501
BS39_DH_068,34.06666667,26.58333334,0.219913294
BS39_DH_069,30.16666667,28.25,0.051635803
BS39_DH_070,26.83333333,18.73333334,0.304596697
BS39_DH_072,44.83333334,32.35,0.275539867
BS39_DH_075,29,28.45,-0.001733834
BS39_DH_076,25.33333334,23.23333334,0.082916667
BS39_DH_085,31.43333333,23.71666667,0.245923752
BS39_DH_086,30.66666667,22.08333333,0.266648892
BS39_DH_088,38.81666667,30.26666667,0.220117898
BS39_DH_089,27.48333333,23.26666667,0.150670489
BS39_DH_091,31.5,26.93333333,0.138271605
BS39_DH_092,42.83333333,36.33333333,0.13757341
BS39_DH_093,27.66666667,19.91666667,0.242493873
BS39_DH_094,32.5,28.2,0.124573055
BS39_DH_098,32.5,26.33333334,0.134217478
BS39_DH_099,23.75,25.55,-0.07746229
BS39_DH_101,29.66666667,24,0.193585338
BS39_DH_105,35,28.66666667,0.181422352
BS39_DH_108,20.33333334,16.91666667,0.153305927
BS39_DH_111,34.25,28.33333334,0.168800683
BS39_DH_113,31,25.91666667,0.1653656
SHGD_DH_001,28.05,19.91666667,0.292475935
SHGD_DH_003,36.5,31.18333334,0.145644192
SHGD_DH_005,35.5,28.58333334,0.197666196
SHGD_DH_007,27.86666667,25.71666667,0.056076559
SHGD_DH_008,34.75,29.55,0.147870724
SHGD_DH_011,33.75,28.66666667,0.143396411
SHGD_DH_012,36.33333334,34.56666667,0.042295919
SHGD_DH_016,35.25,32.83333333,0.068519181
SHGD_DH_017,30.41666667,26.83333334,0.116666667
SHGD_DH_018,33.61666667,30.33333334,0.099632212
SHGD_DH_022,29.16666667,29.43333333,-0.016190476
SHGD_DH_023,35.5,31.23333334,0.117173253
SHGD_DH_024,43.16666667,37.33333334,0.136857826
SHGD_DH_025,42.83333334,29.5,0.310614322
SHGD_DH_026,26.6,26,0.019179894
SHGD_DH_027,33.5,36.46666667,-0.093594127
SHGD_DH_029,36.41666667,32.58333334,0.102173913
SHGD_DH_032,28.41666667,24.45,0.126270718
SHGD_DH_033,32.15,24.83333334,0.208422832
SHGD_DH_034,33.16666667,32.16666667,0.031237282
SHGD_DH_035,39.33333334,32.53333333,0.172256997
SHGD_DH_036,27.58333334,31.8,-0.155567766
SHGD_DH_037,29.5,33.06666667,-0.120903955
SHGD_DH_039,39,31.75,0.18486534
SHGD_DH_040,32.75,24.3,0.241594463
