PI,Diploid,Haploid,Haploid_frailty
BS39_DH_002,4.416666667,3.25,0.264245014
BS39_DH_003,5.4,3.766666667,0.302469136
BS39_DH_005,4.066666667,3.516666667,0.138259109
BS39_DH_009,5.666666667,5.416666667,0.041063645
BS39_DH_010,4.783333334,4.833333334,-0.010780886
BS39_DH_012,4.166666667,3.783333334,0.089935065
BS39_DH_013,4.483333334,3.533333334,0.213491537
BS39_DH_014,3.816666667,3.116666667,0.181394994
BS39_DH_016,6.366666667,4.833333334,0.241091009
BS39_DH_017,5.05,4.083333334,0.189752203
BS39_DH_018,2.583333333,2.833333334,-0.100840336
BS39_DH_019,4.466666667,4,0.103870788
BS39_DH_020,5.266666667,4.383333334,0.164585012
BS39_DH_024,4.8,3.65,0.239474319
BS39_DH_025,4.533333333,3.333333333,0.262937822
BS39_DH_026,5.266666667,4.45,0.086072591
BS39_DH_027,4.966666667,4.566666667,0.055635561
BS39_DH_028,4.3,3.85,0.096733366
BS39_DH_029,5.583333333,4.166666667,0.254957912
BS39_DH_030,4.133333333,3.183333334,0.222523701
BS39_DH_032,4.3,3.433333334,0.173333334
BS39_DH_035,6.05,4.3,0.283560639
BS39_DH_036,5.05,3.566666667,0.293412385
BS39_DH_038,4.716666667,4.4,0.068095524
BS39_DH_040,5.5,3.633333334,0.337636544
BS39_DH_041,3.366666667,3.016666667,0.088654589
BS39_DH_042,4.583333334,2.783333334,0.392981899
BS39_DH_043,5.6,4.733333334,0.147220328
BS39_DH_044,3.766666667,2.616666667,0.308962264
BS39_DH_045,4.35,3.45,0.206840869
BS39_DH_046,3.616666667,3.2,0.114237
BS39_DH_047,3.266666667,3.633333333,-0.112244898
BS39_DH_048,3.75,2.433333333,0.346428572
BS39_DH_051,4.9,4.083333334,0.163860831
BS39_DH_052,4.283333334,3.7,0.132020757
BS39_DH_053,4.283333333,3.783333334,0.098368227
BS39_DH_054,5.033333334,3.983333333,0.208865202
BS39_DH_058,5.4,3.833333334,0.288056026
BS39_DH_060,4.566666667,3.55,0.218162394
BS39_DH_061,6.066666667,4.533333334,0.252747253
BS39_DH_063,5.183333333,4.116666667,0.204402255
BS39_DH_065,5.283333334,4.066666667,0.225625505
BS39_DH_066,4.983333333,3.416666667,0.310837439
BS39_DH_067,4.55,3.4,0.235121682
BS39_DH_068,4.616666667,3.466666667,0.248696559
BS39_DH_069,4.15,3.766666667,0.044040404
BS39_DH_070,4.883333333,3.383333333,0.304088346
BS39_DH_072,4.866666667,3.433333334,0.291071429
BS39_DH_075,3.45,3.15,0.05934874
BS39_DH_076,3.95,3.716666667,0.058624377
BS39_DH_085,5.916666667,4.3,0.274843431
BS39_DH_086,4.666666667,3.666666667,0.214871795
BS39_DH_088,5.55,4.333333334,0.207673905
BS39_DH_089,4.533333334,3.416666667,0.23567347
BS39_DH_091,4.083333334,2.966666667,0.265847217
BS39_DH_092,6.75,4.75,0.289772728
BS39_DH_093,3.283333334,2.516666667,0.208440171
BS39_DH_094,5.483333334,5.266666667,0.03383389
BS39_DH_098,6.85,5.616666667,0.146034816
BS39_DH_099,4.783333334,4.466666667,0.067770645
BS39_DH_101,4.716666667,3.95,0.155871976
BS39_DH_105,4.85,4.5,0.058333334
BS39_DH_108,3.55,3.116666667,0.088943624
BS39_DH_111,6.85,4.95,0.277706735
BS39_DH_113,3.883333334,2.716666667,0.295740741
SHGD_DH_001,5.316666667,3.65,0.315060669
SHGD_DH_003,6.85,5.783333334,0.094799055
SHGD_DH_005,5.766666667,4.666666667,0.190524194
SHGD_DH_007,5.75,5.283333334,0.066385135
SHGD_DH_008,4.633333334,4,0.137163561
SHGD_DH_011,6.45,4.85,0.244072843
SHGD_DH_012,5.366666667,4.1,0.232291546
SHGD_DH_016,5.833333333,4.85,0.167396133
SHGD_DH_017,4.883333333,4.016666667,0.177073625
SHGD_DH_018,6.966666667,6.566666667,0.063131314
SHGD_DH_022,4.733333333,4.333333334,0.060483871
SHGD_DH_023,7.25,6.6,0.081954888
SHGD_DH_024,7.416666667,6.05,0.181504065
SHGD_DH_025,5.3,3.85,0.26811882
SHGD_DH_026,4.5,4.15,0.074746972
SHGD_DH_027,5.016666667,5.1,-0.045446241
SHGD_DH_029,6.283333333,6.45,-0.026949058
SHGD_DH_032,4.183333333,3.35,0.195454546
SHGD_DH_033,7.116666667,4.55,0.350011168
SHGD_DH_034,4.283333334,4.116666667,0.042956892
SHGD_DH_035,5.583333333,5.333333334,0.044196429
SHGD_DH_036,5.383333333,6.016666667,-0.171263452
SHGD_DH_037,5.6,5.233333333,0.06547619
SHGD_DH_039,6.5,4.9,0.245549821
SHGD_DH_040,4.716666667,3.8,0.180821573
SHGD_DH_042,4.85,4.15,0.14361854
SHGD_DH_043,4.633333334,4.116666667,0.109278627
SHGD_DH_044,5.783333334,4.566666667,0.216230175
SHGD_DH_045,5.533333333,4.633333333,0.162650602
SHGD_DH_046,4.5,3.95,0.117655173
SHGD_DH_049,7.416666667,6.5,0.096645703
SHGD_DH_052,5.716666667,5.483333334,0.040314902
SHGD_DH_053,5.8,5.2,0.071921183
SHGD_DH_056,4.85,4.266666667,0.112179487
SHGD_DH_057,5.466666667,4.766666667,0.126656739
SHGD_DH_059,6.016666667,5.05,0.158503401
SHGD_DH_060,5.166666667,3.616666667,0.298574347
SHGD_DH_061,5.833333333,4.533333333,0.222857143
SHGD_DH_063,5.2,3.583333333,0.303022193
SHGD_DH_065,5.25,5.233333334,0.020003253
SHGD_DH_067,7.266666667,5.366666667,0.262453453
SHGD_DH_068,5.966666667,5.05,0.15464985
SHGD_DH_070,7.783333334,5.766666667,0.260410934
SHGD_DH_073,6.116666667,4.583333334,0.250608851
SHGD_DH_074,6.666666667,7.233333333,-0.08989899
SHGD_DH_075,8,5.5,0.3125
SHGD_DH_076,4.666666667,5,-0.071428571
SHGD_DH_078,3.733333334,3.866666667,-0.035256411
SHGD_DH_079,6.25,4.85,0.20738881
SHGD_DH_081,5.933333334,6.483333334,-0.115641026
SHGD_DH_082,4.7,5.166666667,-0.09929078
SHGD_DH_083,3.933333333,3.583333333,0.089363996
SHGD_DH_085,5.433333334,3.866666667,0.276893939
SHGD_DH_087,6.3,5,0.201970444
SHGD_DH_092,5.7,4.816666667,0.153192656
SHGD_DH_093,6.3,5.116666667,0.187711734
SHGD_DH_095,6.5,4.966666667,0.237698413
SHGD_DH_096,4.266666667,4.166666667,0.0234375
SHGD_DH_097,4.633333334,3.933333334,0.150431373
SHGD_DH_099,4.866666667,3.916666667,0.193192489
SHGD_DH_100,6.083333334,5.316666667,0.102328886
SHGD_DH_103,4.433333333,4.9,-0.105263158
SHGD_DH_105,6.95,4.366666667,0.376759087
SHGD_DH_107,5.25,4.65,0.115524194
SHGD_DH_108,5.633333334,3.8,0.318808391
SHGD_DH_109,4.783333333,4.166666667,0.128241865
SHGD_DH_111,5.466666667,5.233333334,0.013906162
SHGD_DH_112,2.866666667,2.65,0.066966721
SHGD_DH_113,6.833333334,5.033333333,0.260476191
SHGD_DH_116,5.333333333,4.483333334,0.155172414
SHGD_DH_119,5.3,5.2,0.018867925
SHGD_DH_123,5.4,4.4,0.185668499
SHGD_DH_128,7.083333334,12.33333333,-0.709881064
SHGD_DH_131,5.3,4.35,0.182709448
SHGD_DH_132,6.383333334,4.216666667,0.33957788
SHGD_DH_134,5.633333333,5.35,0.032041252
