PI,HFF,HMF
BS39_DH_002,2.25,52.08333334
BS39_DH_003,1.583333334,71.875
BS39_DH_005,21.125,31.81818182
BS39_DH_009,1.119047619,76.94444445
BS39_DH_010,21.67307693,43.75
BS39_DH_012,39.6,72.61904762
BS39_DH_013,9.907563023,50
BS39_DH_014,6.7,78.57142857
BS39_DH_016,6.2,46.15384616
BS39_DH_017,43.84090909,0
BS39_DH_018,2.071428572,41.5
BS39_DH_019,39.57142857,50
BS39_DH_020,6.541666667,0
BS39_DH_024,11.55,0
BS39_DH_025,1.95,76.70454546
BS39_DH_026,2.152777778,79.61538462
BS39_DH_027,0.258928572,73.33333334
BS39_DH_028,10.79393939,53.57142857
BS39_DH_029,8.041666665,23.52941177
BS39_DH_030,6.019607843,69.04761905
BS39_DH_032,0.363636364,0
BS39_DH_035,1.840909091,88.46153846
BS39_DH_036,51.90833334,51.875
BS39_DH_038,17.65625,56.08333334
BS39_DH_040,0.261842106,86.93181818
BS39_DH_041,0.222222222,0
BS39_DH_042,0.022727273,0
BS39_DH_043,23.125,0
BS39_DH_044,20.07467533,0
BS39_DH_045,3.375730995,42.85714286
BS39_DH_046,12.58888889,64.57680251
BS39_DH_048,0.59920635,69.04761905
BS39_DH_051,27.33333334,50
BS39_DH_052,7.581818182,73.95833334
BS39_DH_053,4.8,80.55555556
BS39_DH_054,100.1993007,46.66666667
BS39_DH_058,0.6,35.71428572
BS39_DH_060,42.75490196,25
BS39_DH_061,10.65625,43.05555556
BS39_DH_063,1.451282051,61.25
BS39_DH_065,77.86666667,48.07692308
BS39_DH_066,16.7,91.11111111
BS39_DH_067,6.277777778,72.35294118
BS39_DH_068,33.11538462,83.73015873
BS39_DH_069,8,40
BS39_DH_070,27.40625,40.625
BS39_DH_072,9.895833335,53.36134454
BS39_DH_075,12.19047619,0
BS39_DH_076,7.9,73.4299517
BS39_DH_085,5.833333335,27.77777778
BS39_DH_086,10.41876751,76.35869565
BS39_DH_088,21.81764706,95
BS39_DH_089,0.434065934,45
BS39_DH_091,76.97727273,50
BS39_DH_092,12.67857143,47.22222222
BS39_DH_093,15.30652174,43.75
BS39_DH_094,4.427884616,37.5
BS39_DH_098,12.08333333,0
BS39_DH_099,18.19642857,35
BS39_DH_101,36.85087719,3.571428572
BS39_DH_105,32.72058824,63.58974359
BS39_DH_108,1.835858586,11.53846154
BS39_DH_111,9.55,6.25
BS39_DH_113,9.515151514,36.36363637
SHGD_DH_001,82.42857145,83.4224599
SHGD_DH_003,85.29166665,51.73611111
SHGD_DH_005,67.6969697,45.83333334
SHGD_DH_007,82.4993369,41.66666667
SHGD_DH_008,79.9949495,42
SHGD_DH_011,6.090909091,87.5
SHGD_DH_012,115.1268939,62.74509804
SHGD_DH_016,83.42083334,64.375
SHGD_DH_017,11.66666667,85.71428572
SHGD_DH_018,63.18888889,83.33333334
SHGD_DH_022,69.73161765,81.81818182
SHGD_DH_023,16.46524065,2.5
SHGD_DH_024,42.51449275,16.66666667
SHGD_DH_025,27.88111111,36.36363637
SHGD_DH_026,115.03125,36.07843137
SHGD_DH_027,16.46794872,47.36842106
SHGD_DH_029,67.18627451,74.44444445
SHGD_DH_032,162.7722222,0
SHGD_DH_033,34.15384615,0
SHGD_DH_034,203,95.45454546
SHGD_DH_035,64,59.09090909
SHGD_DH_036,116.2622378,0
