PI,Diploid,Haploid,Haploid_frailty
BS39_DH_002,182.1666667,145.3333334,0.200693723
BS39_DH_003,168.3333333,111.6666667,0.336633663
BS39_DH_005,189.6666667,126.3333334,0.332452358
BS39_DH_009,211.1666667,142.3333334,0.322988506
BS39_DH_010,134.6666667,96.5,0.282115172
BS39_DH_012,210,147.8333333,0.295
BS39_DH_013,221.6666667,180.3333334,0.186635007
BS39_DH_014,190.3333333,127.5,0.329490114
BS39_DH_016,178.3333333,129.1666667,0.274102745
BS39_DH_017,215,144.1666667,0.329567308
BS39_DH_018,229.1666667,158,0.310061395
BS39_DH_019,177.3333333,120.3333333,0.320701357
BS39_DH_020,188.6666667,133,0.292359782
BS39_DH_024,209.1666667,138.6666667,0.336661586
BS39_DH_025,195.1666667,141.5,0.274017915
BS39_DH_026,212.5,154.1666667,0.275210084
BS39_DH_027,215.8333334,157.5,0.270371033
BS39_DH_028,199.1666667,140.8333334,0.292892157
BS39_DH_029,172.5,137.3333333,0.203865547
BS39_DH_030,217,170.6666667,0.213215163
BS39_DH_032,208.3333333,158.3333333,0.24013832
BS39_DH_035,241.6666667,160,0.337076513
BS39_DH_036,213.3333334,136.6666667,0.358748778
BS39_DH_038,171.1666667,134.1666667,0.214266728
BS39_DH_040,210,119.1666667,0.43233367
BS39_DH_041,200,126.1666667,0.369143691
BS39_DH_042,172.8333333,104.1666667,0.397267923
BS39_DH_043,161.6666667,125,0.226403061
BS39_DH_044,212.5,151.8333334,0.286138982
BS39_DH_045,228.3333334,175,0.233216113
BS39_DH_046,232.5,152.5,0.343554025
BS39_DH_047,206.6666667,143.3333333,0.306451613
BS39_DH_048,190.8333334,135.8333334,0.288211941
BS39_DH_051,189.1666667,130.8333334,0.308376029
BS39_DH_052,153.3333334,107.5,0.299007445
BS39_DH_053,214.1666667,153.3333334,0.283939394
BS39_DH_054,202.5,139.1666667,0.312542373
BS39_DH_058,184.1666667,142.8333333,0.224364233
BS39_DH_060,291.6666667,200.8333333,0.310044526
BS39_DH_061,207.5,141.6666667,0.317000647
BS39_DH_063,210.8333334,168.8333334,0.19912511
BS39_DH_065,199.6666667,142.5,0.285459411
BS39_DH_066,203.8333334,129.3333334,0.365012447
BS39_DH_067,195,134.1666667,0.312280702
BS39_DH_068,207.1666667,153.8333334,0.257017061
BS39_DH_069,240,165.8333333,0.309027778
BS39_DH_070,208.5,137.1666667,0.342569814
BS39_DH_072,186.6666667,137.5,0.259111111
BS39_DH_075,225,161.6666667,0.281470071
BS39_DH_076,204.1666667,144,0.29473544
BS39_DH_085,241.6666667,160,0.3382185
BS39_DH_086,123.3333333,73,0.408108108
BS39_DH_088,201.3333334,139.6666667,0.306360758
BS39_DH_089,224.1666667,136.3333334,0.390286536
BS39_DH_091,215,155,0.279206731
BS39_DH_092,203.3333334,143.3333334,0.294197031
BS39_DH_093,209.1666667,164.1666667,0.214907267
BS39_DH_094,212.5,165,0.223590249
BS39_DH_098,196.6666667,152.5,0.224403222
BS39_DH_099,161.8333333,126.1666667,0.215986973
BS39_DH_101,196.3333333,153,0.214974443
BS39_DH_105,240,188.3333334,0.214202899
BS39_DH_108,205.8333333,155.3333334,0.245606558
BS39_DH_111,135.8333333,76,0.439081326
BS39_DH_113,226.6666667,154.1666667,0.319067728
SHGD_DH_001,205.8333334,157,0.236311164
SHGD_DH_003,178.8333333,125.5,0.291075051
SHGD_DH_005,193.8333334,121.3333334,0.373968592
SHGD_DH_007,192.5,165,0.142830359
SHGD_DH_008,182.1666667,133.6666667,0.264243105
SHGD_DH_011,173.1666667,139.5,0.19494233
SHGD_DH_012,205,165.1666667,0.194394501
SHGD_DH_016,167,126.6666667,0.240461526
SHGD_DH_017,213,154,0.276278967
SHGD_DH_018,180.5,130,0.27998704
