PI,Diploid,Haploid,Haploid_frailty
BS39_DH_002,5.185833333,3.767666666,0.267009547
BS39_DH_003,4.826,2.963333334,0.385964912
BS39_DH_005,4.953,3.048,0.385526316
BS39_DH_009,5.207,3.894666667,0.253174603
BS39_DH_010,3.8735,3.513666667,0.090120482
BS39_DH_012,4.466166666,3.3655,0.243507092
BS39_DH_013,3.767666667,4.275666667,-0.132113821
BS39_DH_014,5.164666666,3.894666667,0.242456897
BS39_DH_016,5.058833334,4.826,0.04597983
BS39_DH_017,4.550833334,3.979333333,0.127947296
BS39_DH_018,4.593166667,4.2545,0.07954352
BS39_DH_019,4.931833333,3.196166667,0.351474927
BS39_DH_020,4.868333334,3.788833333,0.188220231
BS39_DH_024,6.011333334,4.445,0.25536566
BS39_DH_025,4.847166667,3.217333334,0.320698925
BS39_DH_026,4.783666667,3.81,0.196069183
BS39_DH_027,5.122333334,3.302,0.359877914
BS39_DH_028,6.1595,4.593166667,0.249428245
BS39_DH_029,5.2705,4.423833333,0.161463765
BS39_DH_030,5.185833333,3.7465,0.276333334
BS39_DH_032,4.2545,3.407833334,0.198613861
BS39_DH_035,5.418666667,4.1275,0.238888889
BS39_DH_036,4.593166666,3.280833333,0.278559103
BS39_DH_038,4.995333333,3.979333333,0.204050851
BS39_DH_040,5.439833334,2.963333333,0.454815264
BS39_DH_041,4.995333334,3.217333333,0.355932204
BS39_DH_042,4.847166667,3.4925,0.278083028
BS39_DH_043,5.164666667,4.360333333,0.154790823
BS39_DH_044,5.164666667,3.683,0.281385282
BS39_DH_045,4.741333334,3.640666667,0.234729773
BS39_DH_046,3.894666667,3.196166667,0.173720708
BS39_DH_047,4.487333334,4.402666666,0.018867925
BS39_DH_048,4.106333333,3.1115,0.244832041
BS39_DH_051,4.614333333,3.704166666,0.210784314
BS39_DH_052,4.233333333,3.577166667,0.146756979
BS39_DH_053,4.550833333,3.132666667,0.310710499
BS39_DH_054,5.08,4.064,0.186868687
BS39_DH_058,6.053666667,4.339166667,0.287732042
BS39_DH_060,5.185833333,3.4925,0.323232324
BS39_DH_061,5.037666667,3.788833333,0.241025642
BS39_DH_063,4.445,4.212166667,0.05564693
BS39_DH_065,5.799666667,4.042833334,0.305025394
BS39_DH_066,5.2705,3.132666666,0.409487247
BS39_DH_067,5.926666666,3.7465,0.358552632
BS39_DH_068,5.9055,4.423833334,0.250847893
BS39_DH_069,6.180666667,4.318,0.29954955
BS39_DH_070,6.900333334,6.2865,0.101365379
BS39_DH_072,5.588,4.148666667,0.257908105
BS39_DH_075,5.863166667,4.826,0.171861947
BS39_DH_076,5.672666666,4.487333333,0.210714286
BS39_DH_085,5.418666666,4.296833333,0.202899437
BS39_DH_086,5.588,3.534833333,0.363940092
BS39_DH_088,5.058833334,3.259666667,0.342484121
BS39_DH_089,5.101166667,4.275666666,0.16328922
BS39_DH_091,5.101166667,3.513666667,0.305136269
BS39_DH_092,4.741333334,3.81,0.196428572
BS39_DH_093,5.355166667,4.021666666,0.23614304
BS39_DH_094,6.815666666,5.101166667,0.261511591
BS39_DH_098,5.101166667,4.339166667,0.145703396
BS39_DH_099,5.215466667,3.556,0.315004263
BS39_DH_101,5.334,3.640666667,0.315026697
BS39_DH_105,5.037666666,4.085166667,0.184730114
BS39_DH_108,5.312833334,3.598333333,0.322517145
BS39_DH_111,4.699,2.7305,0.42607352
BS39_DH_113,4.826,4.021666667,0.15530303
SHGD_DH_001,4.783666667,4.5085,-0.010540185
SHGD_DH_003,5.291666667,3.3655,0.367167437
SHGD_DH_005,4.148666667,3.4925,0.163690476
SHGD_DH_007,4.042833333,3.386666667,0.161842105
SHGD_DH_008,4.360333333,3.767666667,0.131197559
SHGD_DH_011,4.7625,3.4925,0.270799281
SHGD_DH_012,4.783666666,4.1275,0.137382445
SHGD_DH_016,4.445,3.81,0.146045919
SHGD_DH_017,3.81,3.598333333,0.05952381
SHGD_DH_018,4.572,4.233333334,0.082395395
SHGD_DH_022,5.08,4.042833333,0.204254728
SHGD_DH_023,12.59416667,4.656666667,0.420380435
SHGD_DH_024,4.085166666,3.8735,0.047469772
SHGD_DH_025,4.085166667,4.021666667,-0.004330447
SHGD_DH_026,4.529666666,3.7465,0.185049893
SHGD_DH_027,4.677833333,4.529666666,0.029840958
SHGD_DH_029,5.101166666,4.212166666,0.171840432
SHGD_DH_032,4.212166667,4.275666667,-0.02008521
SHGD_DH_033,4.804833333,3.556,0.255736288
SHGD_DH_034,5.122333334,4.2545,0.173943662
SHGD_DH_035,4.5085,4.8895,-0.077337804
SHGD_DH_036,5.207,4.212166666,0.171296296
SHGD_DH_037,4.402666666,4.783666666,-0.086538462
SHGD_DH_039,5.0165,4.296833334,0.140819391
SHGD_DH_040,4.8895,3.725333333,0.236508894
SHGD_DH_042,4.614333333,3.683,0.201010101
SHGD_DH_043,4.699,4.085166667,0.115743393
SHGD_DH_044,7.323666666,5.207,0.303309821
SHGD_DH_045,4.995333334,3.81,0.237288136
SHGD_DH_046,5.757333334,4.360333334,0.242765187
SHGD_DH_049,6.138333334,6.815666667,-0.093198235
SHGD_DH_052,4.318,3.683,0.148440508
SHGD_DH_053,4.8895,3.894666667,0.204453441
SHGD_DH_056,4.550833334,3.175,0.300372166
SHGD_DH_057,4.783666667,3.640666666,0.239799121
SHGD_DH_059,4.318,3.937,0.083365422
SHGD_DH_060,5.0165,3.915833334,0.219490437
SHGD_DH_061,4.804833333,4.191,0.123387723
SHGD_DH_063,4.402666666,3.1115,0.297309833
SHGD_DH_065,4.783666666,3.937,0.179539723
SHGD_DH_067,3.831166667,3.3655,0.106481482
SHGD_DH_068,4.953,4.0005,0.204407295
SHGD_DH_070,5.757333334,4.931833333,0.147399784
SHGD_DH_073,4.593166667,4.296833333,0.066462689
SHGD_DH_074,4.931833333,4.212166666,0.134740741
SHGD_DH_075,3.852333334,4.995333334,-0.296703297
SHGD_DH_076,5.08,4.741333334,0.066666667
SHGD_DH_078,5.5245,10.3505,-0.916931217
SHGD_DH_079,4.868333333,4.1275,0.143442623
SHGD_DH_081,4.148666666,3.577166667,0.141289509
SHGD_DH_082,4.318,3.513666666,0.18627451
SHGD_DH_083,4.720166666,3.915833333,0.167056075
SHGD_DH_085,4.677833333,17.526,-2.465805597
SHGD_DH_087,4.910666667,5.101166666,-0.028030303
SHGD_DH_092,5.122333333,4.275666667,0.168722588
SHGD_DH_093,5.439833333,4.106333333,0.250091009
SHGD_DH_095,4.1275,3.704166667,0.108950032
SHGD_DH_096,4.233333334,3.81,0.1
SHGD_DH_097,5.207,4.191,0.195229212
SHGD_DH_099,4.529666667,3.259666666,0.282738096
SHGD_DH_100,5.164666667,3.725333333,0.280602637
SHGD_DH_103,4.953,3.81,0.230769231
SHGD_DH_105,5.101166667,3.2385,0.367559524
SHGD_DH_107,6.180666666,5.9055,0.056015038
SHGD_DH_108,4.614333334,3.534833334,0.213366507
SHGD_DH_109,3.302,3.280833333,0.001644737
SHGD_DH_111,4.1275,3.513666667,0.144230769
SHGD_DH_112,4.445,3.894666666,0.131831038
SHGD_DH_113,4.021666667,3.302,0.174465241
SHGD_DH_116,4.318,3.471333333,0.197871502
SHGD_DH_119,4.741333334,4.487333334,0.053571429
SHGD_DH_123,4.318,3.640666667,0.15864459
SHGD_DH_128,4.868333334,3.661833334,0.249016344
SHGD_DH_131,4.064,3.069166667,0.239782609
SHGD_DH_132,4.529666666,4.064,0.101199128
SHGD_DH_134,4.466166667,3.661833333,0.175571146
SHGD_DH_136,5.588,4.106333334,0.265151515
SHGD_DH_138,4.550833333,4.423833334,0.025759986
SHGD_DH_139,4.953,4.106333333,0.170289855
SHGD_DH_141,3.915833333,3.1115,0.194978633
SHGD_DH_146,4.3815,3.767666667,0.150560748
SHGD_DH_148,5.757333333,4.656666666,0.192424243
SHGD_DH_150,4.085166666,3.661833333,0.095740057
SHGD_DH_156,3.894666667,3.407833333,0.126595745
SHGD_DH_157,4.212166666,3.196166666,0.240806224
SHGD_DH_163,4.974166667,3.958166667,0.204182978
SHGD_DH_165,4.1275,3.1115,0.233003442
SHGD_DH_167,4.699,4.931833333,-0.070327869
SHGD_DH_170,4.910666667,3.937,0.198483497
SHGD_DH_171,5.037666667,4.360333333,0.131944445
SHGD_DH_172,4.042833334,3.915833333,0.006377266
SHGD_DH_174,4.741333333,3.471333333,0.268421053
SHGD_DH_176,4.064,3.81,0.05620915
SHGD_DH_180,5.164666666,4.233333333,0.179148707
SHGD_DH_181,3.4925,3.577166667,-0.018628031
SHGD_DH_182,4.8895,3.4925,0.278671117
SHGD_DH_183,4.402666666,3.894666667,0.115384615
SHGD_DH_184,3.556,3.196166666,0.107676826
SHGD_DH_186,5.207,3.852333333,0.261255297
SHGD_DH_187,3.683,3.513666666,0.045977012
SHGD_DH_188,4.0005,2.878666667,0.285500575
SHGD_DH_190,5.122333334,3.788833333,0.260330579
SHGD_DH_193,4.2545,3.513666667,0.152147611
SHGD_DH_194,5.249333333,3.683,0.299635701
SHGD_DH_195,4.699,3.386666666,0.280506618
SHGD_DH_196,4.868333334,3.704166666,0.239130435
SHGD_DH_197,4.7625,3.958166666,0.171739131
SHGD_DH_198,4.5085,3.217333334,0.287030506
SHGD_DH_200,4.656666666,3.661833334,0.213636364
SHGD_DH_201,4.487333333,4.339166667,0.029985678
SHGD_DH_202,5.185833333,3.831166667,0.261904762
SHGD_DH_203,4.550833333,3.831166667,0.147890406
SHGD_DH_204,5.820833333,4.656666666,0.17121313
SHGD_DH_210,4.741333333,15.113,-1.930839003
SHGD_DH_211,5.334,4.445,0.166666667
SHGD_DH_214,4.360333333,4.042833334,0.057398932
SHGD_DH_217,3.958166667,4.021666667,-0.020547945
SHGD_DH_218,4.593166666,3.8735,0.146333046
SHGD_DH_220,4.5085,3.344333333,0.261738747
SHGD_DH_221,5.249333334,4.212166667,0.197580645
SHGD_DH_223,5.461,4.614333333,0.156370193
SHGD_DH_224,4.741333333,5.207,-0.097478992
SHGD_DH_225,4.064,4.233333333,-0.058093126
Grand Total,4.881324885,4.087090909,0.152520778
