PI,Diploid,Haploid,Haploid_frailty
BS39_DH_002,18.8,14,0.251856083
BS39_DH_003,21.8,4.166666667,0.808868502
BS39_DH_005,20.83333334,15,0.280769231
BS39_DH_009,20.51666667,16.33333333,0.204271271
BS39_DH_010,15.91666667,12.83333333,0.193530702
BS39_DH_012,19.91666667,19.5,0.008421053
BS39_DH_013,20.73333334,13.83333334,0.332919769
BS39_DH_014,20.83333334,15.9,0.236456733
BS39_DH_016,18.91666667,12.8,0.323090063
BS39_DH_017,17.33333334,13.83333334,0.201812801
BS39_DH_018,18.16666667,15.91666667,0.124326146
BS39_DH_019,17.86666667,12.83333334,0.280475892
BS39_DH_020,22.5,15.33333334,0.318221831
BS39_DH_024,16.16666667,10.33333333,0.361253197
BS39_DH_025,15.8,8.916666667,0.435901435
BS39_DH_026,15,11,0.267857143
BS39_DH_027,21.45,15.33333334,0.285239844
BS39_DH_028,11.16666667,9.166666667,0.178698753
BS39_DH_029,14.83333334,12.3,0.170656566
BS39_DH_030,22.83333334,14.5,0.364916774
BS39_DH_032,19.33333334,13.5,0.300595238
BS39_DH_035,20.55,13.91666667,0.317850445
BS39_DH_036,23.41666667,16.8,0.284681934
BS39_DH_038,20,12.83333333,0.359405391
BS39_DH_040,25,16.16666667,0.353406868
BS39_DH_041,23.33333334,19.2,0.177570284
BS39_DH_042,16.91666667,8.5,0.496503497
BS39_DH_043,15.76666667,10.58333334,0.319617961
BS39_DH_044,22.5,18.3,0.186890646
BS39_DH_045,15,9.750000002,0.34995052
BS39_DH_046,15.5,11.41666667,0.264222942
BS39_DH_047,22.5,16.1,0.284444444
BS39_DH_048,18.83333333,11,0.414576803
BS39_DH_051,22.41666667,16.93333334,0.244693201
BS39_DH_052,16.66666667,12.66666667,0.242788462
BS39_DH_053,17.33333333,12.21666667,0.295192308
BS39_DH_054,18.08333333,12,0.336788445
BS39_DH_058,17.4,10.85,0.375309844
BS39_DH_060,19.83333333,14.75,0.255723573
BS39_DH_061,23.75,16.66666667,0.294414736
BS39_DH_063,18.58333334,13.08333333,0.292776433
BS39_DH_065,18.6,12.93333334,0.304567941
BS39_DH_066,17.5,10.7,0.386383443
BS39_DH_067,15.13333333,12.25,0.172933071
BS39_DH_068,23.1,16.5,0.286501378
BS39_DH_069,22.33333334,16.66666667,0.253065775
BS39_DH_070,19,11.58333334,0.390277778
BS39_DH_072,24.88333334,17.55,0.295845234
BS39_DH_075,20.16666667,13.83333334,0.301547817
BS39_DH_076,15.33333334,9.5,0.377840909
BS39_DH_085,17.46666667,12.08333334,0.309880458
BS39_DH_086,20.83333334,14.13333333,0.320865336
BS39_DH_088,20.66666667,14.41666667,0.302172782
BS39_DH_089,20.5,14.91666667,0.273206122
BS39_DH_091,19,14.66666667,0.227734977
BS39_DH_092,21.5,15.16666667,0.294372295
BS39_DH_093,16,10.25,0.356206294
BS39_DH_094,28.75,18.41666667,0.34665249
BS39_DH_098,19.4,16.81666667,0.134490303
BS39_DH_099,18.51666667,13.83333334,0.252860709
BS39_DH_101,20.66666667,15,0.262896047
BS39_DH_105,22.5,16.23333334,0.275494506
BS39_DH_108,15.8,10.33333333,0.339773545
BS39_DH_111,21.58333334,14.5,0.325814537
BS39_DH_113,20.3,14.83333334,0.26890711
SHGD_DH_001,20.08333333,17.2,0.142113239
SHGD_DH_003,16.83333333,13.5,0.208500401
SHGD_DH_005,17.16666667,11.5,0.330377359
SHGD_DH_007,22.16666667,19.83333334,0.104279892
SHGD_DH_008,19.66666667,15.83333334,0.193701467
SHGD_DH_011,23.16666667,17.41666667,0.247981367
SHGD_DH_012,20.26666667,16.05,0.208204837
SHGD_DH_016,18,17.5,0.027347781
SHGD_DH_017,23.08333333,17.91666667,0.22429809
SHGD_DH_018,23.41666667,20.16666667,0.140417554
SHGD_DH_022,20.86666667,18.16666667,0.126763092
SHGD_DH_023,25.28333333,21.83333334,0.130200861
SHGD_DH_024,17.83333334,16.66666667,0.062631579
SHGD_DH_025,21.71666667,16.41666667,0.243886062
SHGD_DH_026,26.63333334,22.91666667,0.141817128
SHGD_DH_027,19.98333334,17.25,0.136762127
SHGD_DH_029,24.6,22.83333334,0.072341598
SHGD_DH_032,21.38333334,18.43333334,0.135484342
SHGD_DH_033,19.65,17.83333334,0.08521988
SHGD_DH_034,19.5,18.5,0.054982312
SHGD_DH_035,16,15.5,0.032342657
SHGD_DH_036,19.86666667,18.5,0.066907776
SHGD_DH_037,16.66666667,13.66666667,0.18
SHGD_DH_039,20.16666667,15.5,0.230727174
SHGD_DH_040,15.75,13.5,0.133031675
SHGD_DH_042,22.83333334,18.25,0.201140239
SHGD_DH_043,21,12.9,0.384090909
SHGD_DH_044,14,13,0.071428571
SHGD_DH_045,24,21.71666667,0.094993247
SHGD_DH_046,27.58333334,23.83333334,0.135852501
SHGD_DH_049,23.83333334,20.06666667,0.157941177
SHGD_DH_052,21.66666667,20.15,0.069829222
SHGD_DH_053,17.41666667,14.71666667,0.144172063
SHGD_DH_056,19.95,16.58333333,0.1680535
SHGD_DH_057,23.16666667,23.83333334,-0.028479702
SHGD_DH_059,18.16666667,16.83333333,0.068075715
SHGD_DH_060,18.08333334,13.16666667,0.271491675
SHGD_DH_061,19.88333333,15.75,0.208781009
SHGD_DH_063,17.91666667,13.16666667,0.265316719
SHGD_DH_065,21.5,15,0.302163462
SHGD_DH_067,17.98333334,14.75,0.180230561
SHGD_DH_068,20.88333334,16.3,0.212229238
SHGD_DH_070,24,15.75,0.343043479
SHGD_DH_073,20.56666667,17,0.172544479
SHGD_DH_074,16.91666667,12.83333334,0.235397197
SHGD_DH_075,17.33333333,8.333333333,0.519230769
SHGD_DH_076,13.83333333,11.66666667,0.156626506
SHGD_DH_078,19.5,16.83333333,0.138466043
SHGD_DH_079,22.75,16.66666667,0.264285715
SHGD_DH_081,22.7,22.03333333,0.028521807
SHGD_DH_082,20.16666667,14.93333333,0.259504132
SHGD_DH_083,23.66666667,17.88333333,0.246502385
SHGD_DH_085,20.9,16.5,0.207868618
SHGD_DH_087,20.41666667,15,0.265291133
SHGD_DH_092,13.33333333,11.08333334,0.155091138
SHGD_DH_093,23.08333334,20.68333334,0.090765269
SHGD_DH_095,17.16666667,14.8,0.135449736
SHGD_DH_096,17,14.4,0.152941176
SHGD_DH_097,24.98333334,18.75,0.252874025
SHGD_DH_099,20.55,14.3,0.304226983
SHGD_DH_100,20.5,18.53333333,0.096349206
SHGD_DH_103,17.66666667,15.66666667,0.113207547
SHGD_DH_105,17.75,16.33333334,0.075728156
SHGD_DH_107,18.05,14.71666667,0.188635743
SHGD_DH_108,20.58333334,17.83333334,0.128919631
SHGD_DH_109,25.05,22.83333334,0.088824353
SHGD_DH_111,18.66666667,17.66666667,0.038548753
SHGD_DH_112,14.33333333,13.96666667,0.025581396
SHGD_DH_113,17.83333334,15.33333334,0.140056023
SHGD_DH_116,22.66666667,16.81666667,0.251981352
SHGD_DH_119,19.5,12.33333333,0.367521368
SHGD_DH_123,21.33333333,16.75,0.21484375
SHGD_DH_128,20.95,15.83333334,0.243121842
SHGD_DH_131,12,8.75,0.270979021
SHGD_DH_132,18,10.9,0.393406593
SHGD_DH_134,21.33333333,17.16666667,0.1953125
SHGD_DH_136,24.53333333,23.83333334,0.028607333
SHGD_DH_138,16.38333334,15.16666667,0.07414307
SHGD_DH_139,20.5,19.58333334,0.045238096
SHGD_DH_141,14.33333334,10.83333333,0.244588745
SHGD_DH_146,25.33333334,16.33333334,0.354805195
SHGD_DH_148,18.93333334,15.41666667,0.189628387
SHGD_DH_150,25.6,20.91666667,0.183791349
SHGD_DH_156,18.58333334,14.66666667,0.212688382
SHGD_DH_163,18.65,15.26666667,0.173458574
SHGD_DH_165,21.01666667,14.75,0.293238038
SHGD_DH_167,15.45,12.83333333,0.16967778
SHGD_DH_170,19.16666667,14.76666667,0.225956285
SHGD_DH_171,18.8,13.38333334,0.282785336
SHGD_DH_172,15.25,10.75,0.301738711
SHGD_DH_174,23.21666667,16.5,0.287808288
SHGD_DH_176,23,19.13333334,0.168177029
SHGD_DH_180,18.08333334,14.5,0.197927285
SHGD_DH_181,17.41666667,12.66666667,0.272619048
SHGD_DH_182,21.63333334,17.16666667,0.204806688
SHGD_DH_183,24.33333333,16.33333334,0.328195489
SHGD_DH_184,23.91666667,18.83333334,0.208924752
SHGD_DH_186,21.13333334,17.46666667,0.168357818
SHGD_DH_187,21,14.33333333,0.317460317
SHGD_DH_188,19.66666667,15.16666667,0.229292929
SHGD_DH_190,27.25,21.83333333,0.194694961
SHGD_DH_193,14.66666667,13.23333334,0.099082094
SHGD_DH_194,23.03333334,17.05,0.25500971
SHGD_DH_195,23,19.95,0.132783267
SHGD_DH_196,27.2,22,0.186829739
SHGD_DH_197,22,17,0.227272728
SHGD_DH_198,18.08333333,15.25,0.155420354
SHGD_DH_200,33.5,25.5,0.238801535
