PI,Diploid,Haploid,Haploid_frailty
BS39_DH_002,19.16666667,12.5,0.347154964
BS39_DH_003,25.33333333,24.66666667,0.026315789
BS39_DH_005,11,14.33333333,-0.313888889
BS39_DH_009,17.66666667,20.16666667,-0.154802909
BS39_DH_010,19.33333334,16.83333333,0.143995098
BS39_DH_012,19,16,0.153727189
BS39_DH_013,25.4,22,0.158547009
BS39_DH_014,10.83333333,12.16666667,-0.117647059
BS39_DH_016,28.83333334,29.66666667,-0.028869287
BS39_DH_017,22.33333333,24.5,-0.108928572
BS39_DH_018,18.16666667,17.16666667,0.026980875
BS39_DH_019,20.16666667,18.83333333,0.026218821
BS39_DH_020,17,14.16666667,0.138095238
BS39_DH_024,23.83333333,22.16666667,0.072015656
BS39_DH_025,16.66666667,18.33333333,-0.102254429
BS39_DH_026,29.83333334,31.66666667,-0.136899973
BS39_DH_027,24.66666667,20,0.191146882
BS39_DH_028,25.66666667,26.83333334,-0.040253165
BS39_DH_029,25.16666667,19.5,0.215973703
BS39_DH_030,18,14.5,0.183333333
BS39_DH_032,12,10.66666667,0.10952381
BS39_DH_035,22.83333334,26.16666667,-0.161089661
BS39_DH_036,25,16,0.36270455
BS39_DH_038,14.66666667,13.5,0.073157895
BS39_DH_040,26,19.33333334,0.256410257
BS39_DH_041,19.5,15.58333334,0.190597015
BS39_DH_042,20.66666667,17.16666667,0.172916667
BS39_DH_043,36.66666667,44,-0.516332753
BS39_DH_044,19.83333334,15.83333334,0.198412699
BS39_DH_045,21.83333334,22.33333333,-0.022261072
BS39_DH_046,22.66666667,19.5,0.139705883
BS39_DH_047,14.66666667,15.66666667,-0.068181818
BS39_DH_048,21.33333333,30.83333334,-0.4453125
BS39_DH_051,18.66666667,11,0.438709678
BS39_DH_052,14.33333333,11.66666667,0.180434783
BS39_DH_053,14.16666667,16.33333334,-0.176091826
BS39_DH_054,24.16666667,18.33333334,0.192307693
BS39_DH_058,16.66666667,17,-0.191768431
BS39_DH_060,17.83333334,18.66666667,-0.046276596
BS39_DH_061,22.16666667,20.16666667,0.086199095
BS39_DH_063,17,13.66666667,0.169670847
BS39_DH_065,23.16666667,19.5,0.147451964
BS39_DH_066,26.33333334,17.66666667,0.331248998
BS39_DH_067,30,24.16666667,0.194196429
BS39_DH_068,19.33333334,17.83333334,0.081547619
BS39_DH_069,17.5,21.33333334,-0.215686275
BS39_DH_070,23.33333334,17.33333334,0.25617473
BS39_DH_072,15.83333334,15.16666667,0.039671986
BS39_DH_075,18.33333334,18.33333333,-0.041666667
BS39_DH_076,13.66666667,17.5,-0.284384384
BS39_DH_085,22,19.5,0.114466131
BS39_DH_086,15.5,12,0.186842106
BS39_DH_088,16.16666667,16.16666667,-0.102459017
BS39_DH_089,19.91666667,17.16666667,0.127906977
BS39_DH_091,18.83333334,22.33333334,-0.186006289
BS39_DH_092,12,9.666666669,0.196471532
BS39_DH_093,20.5,27.16666667,-0.330542265
BS39_DH_094,20,19,0.060066741
BS39_DH_098,24.5,24,0.021739131
BS39_DH_099,21.16666667,19.5,0.056514914
BS39_DH_101,14.66666667,16.16666667,-0.108199274
BS39_DH_105,17.66666667,18,-0.022079772
BS39_DH_108,17.83333334,15.66666667,0.12307423
BS39_DH_111,13.5,9.166666665,0.318902439
BS39_DH_113,23,19.5,0.149148623
SHGD_DH_001,20.5,16.33333333,0.176056338
SHGD_DH_003,15.83333334,18,-0.137632979
SHGD_DH_005,26.33333334,20.33333334,0.226121795
SHGD_DH_007,13,10.16666667,0.216447369
SHGD_DH_008,12.5,12.5,0
SHGD_DH_011,12.33333334,11.83333334,0.036996337
SHGD_DH_012,6.5,9,-0.421122995
SHGD_DH_016,13.5,15.16666667,-0.120085995
SHGD_DH_017,10,11,-0.097643098
SHGD_DH_018,14.83333334,13.33333334,0.103343465
SHGD_DH_022,17.03333334,14.5,0.158309903
SHGD_DH_023,20.28333333,17.83333334,0.132311555
SHGD_DH_024,16.33333334,16.5,-0.032734275
SHGD_DH_025,11.5,11,-0.008710802
SHGD_DH_026,8.666666667,9.333333335,-0.093333334
SHGD_DH_027,20.31666667,17.41666667,0.142736009
SHGD_DH_029,13.16666667,11.83333334,0.103281853
SHGD_DH_032,14.96666667,14.76666667,-0.019590846
SHGD_DH_033,15.83333334,10.5,0.31996435
SHGD_DH_034,12.33333334,12.83333334,-0.041666667
SHGD_DH_035,12,12.83333334,-0.076625387
SHGD_DH_036,13.5,12.83333334,0.022215269
SHGD_DH_037,15,12,0.2
SHGD_DH_039,16.83333334,15,0.100396826
SHGD_DH_040,21.5,16.66666667,0.224241695
SHGD_DH_042,13.66666667,13.16666667,0.03562802
SHGD_DH_043,18.33333334,16.33333334,0.089717742
SHGD_DH_044,31,25,0.193548387
SHGD_DH_045,9.5,9.666666669,-0.016009853
SHGD_DH_046,9.333333332,9.5,-0.027741936
SHGD_DH_049,19,16.23333333,0.143158568
SHGD_DH_052,7.5,9.666666667,-0.315476191
SHGD_DH_053,9.833333335,11.66666667,-0.242261905
SHGD_DH_056,8.666666667,7.333333333,0.152592593
SHGD_DH_057,15,13.16666667,0.08961039
SHGD_DH_059,18.5,17.66666667,0.046296297
SHGD_DH_060,14.16666667,11,0.222222222
SHGD_DH_061,13.83333334,12,0.132404182
SHGD_DH_063,14.66666667,12.66666667,0.136363637
SHGD_DH_065,21.83333333,22.16666667,-0.008628731
SHGD_DH_067,18.73333334,15.25,0.187694408
SHGD_DH_068,16.5,17.5,-0.054545455
