PI,Diploid ,Haploid,Haploid_frailty
BS39_DH_002,34.33333334,25.5,0.257481356
BS39_DH_003,30.33333333,6.1,0.798901099
BS39_DH_005,28.13333334,22.16666667,0.21570784
BS39_DH_009,28.91666667,23.16666667,0.198763956
BS39_DH_010,26.66666667,20.91666667,0.214705883
BS39_DH_012,31.5,30.21666667,0.043918011
BS39_DH_013,38,26.83333333,0.293716794
BS39_DH_014,29.91666667,24,0.197641217
BS39_DH_016,34.83333334,28.16666667,0.184826697
BS39_DH_017,28.33333333,22.5,0.205882353
BS39_DH_018,30.91666667,27.16666667,0.119110177
BS39_DH_019,28.66666667,20.05,0.29898374
BS39_DH_020,32.66666667,21.5,0.341781394
BS39_DH_024,26.16666667,17.56666667,0.328529699
BS39_DH_025,27.46666667,18.66666667,0.318557431
BS39_DH_026,30.75,21.5,0.301190477
BS39_DH_027,32.75,23.16666667,0.288999792
BS39_DH_028,21.71666667,19.33333334,0.109706679
BS39_DH_029,26.26666667,21.75,0.171643474
BS39_DH_030,33,22.66666667,0.311827957
BS39_DH_032,28.83333334,20.08333334,0.302969503
BS39_DH_035,38.1,24.63333334,0.353851524
BS39_DH_036,40.83333333,28.58333333,0.301505017
BS39_DH_038,28.88333333,20.41666667,0.293731467
BS39_DH_040,40.5,27.33333333,0.325091451
BS39_DH_041,32.08333333,26.66666667,0.167162162
BS39_DH_042,30.83333333,16.83333334,0.448235294
BS39_DH_043,30.88333333,22.33333333,0.276618928
BS39_DH_044,30.83333334,27.5,0.072089947
BS39_DH_045,28.33333334,19.08333333,0.32306543
BS39_DH_046,33.16666667,24.26666667,0.268072411
BS39_DH_047,10.33333333,24.86666667,-1.406451613
BS39_DH_048,33.66666667,20.43333334,0.39237843
BS39_DH_051,36.71666667,26.36666667,0.280491536
BS39_DH_052,24.66666667,19.66666667,0.205494506
BS39_DH_053,26.33333333,19,0.278481013
BS39_DH_054,28.91666667,21,0.273726274
BS39_DH_058,29.35,19.95,0.31154585
BS39_DH_060,31.06666667,23.7,0.237427467
BS39_DH_061,38.08333334,27.66666667,0.272436266
BS39_DH_063,31.66666667,23.5,0.256798757
BS39_DH_065,28.16666667,21,0.251683502
BS39_DH_066,28.25,18.83333334,0.332230887
BS39_DH_067,25.5,18.96666667,0.237799376
BS39_DH_068,34,24.5,0.279102182
BS39_DH_069,33.63333334,25.08333333,0.248924031
BS39_DH_070,28.58333333,20.11666667,0.297057022
BS39_DH_072,39.33333333,27.16666667,0.308983112
BS39_DH_075,29.6,22.75,0.219902541
BS39_DH_076,23.2,16.55,0.28046729
BS39_DH_085,28.5,20,0.300383352
BS39_DH_086,27.66666667,19.5,0.29622093
BS39_DH_088,32.2,23.16666667,0.280671296
BS39_DH_089,30.45,23.1,0.241021031
BS39_DH_091,31.83333333,23.33333334,0.265776699
BS39_DH_092,31.75,25,0.209193558
BS39_DH_093,29.58333334,22.16666667,0.251111111
BS39_DH_094,35.55,31.73333333,0.104461796
BS39_DH_098,32.66666667,28.66666667,0.123333334
BS39_DH_099,28.88333334,22.38333334,0.225099231
BS39_DH_101,32.83333333,23.58333334,0.282448454
BS39_DH_105,35.33333333,25.16666667,0.280357143
BS39_DH_108,26.25,19.5,0.253941942
BS39_DH_111,30.75,20.88333333,0.321470122
BS39_DH_113,33.91666667,24.83333334,0.267676036
SHGD_DH_001,31.86666667,29.75,0.041261385
SHGD_DH_003,28.66666667,22.5,0.223646724
SHGD_DH_005,31.16666667,22.8,0.26863418
SHGD_DH_007,30.83333334,26.66666667,0.129486278
SHGD_DH_008,30.41666667,25.16666667,0.172581517
SHGD_DH_011,33.16666667,27.83333334,0.160353536
SHGD_DH_012,27.78333334,21.91666667,0.21132032
SHGD_DH_016,27,25.25,0.064814815
SHGD_DH_017,30.58333334,25.16666667,0.176314693
SHGD_DH_018,32.41666667,27.16666667,0.161229777
SHGD_DH_022,31.21666667,26.41666667,0.154236264
SHGD_DH_023,37.68333334,32.76666667,0.128670507
SHGD_DH_024,31.83333334,28.41666667,0.107483553
SHGD_DH_025,33.08333334,24.66666667,0.25416286
SHGD_DH_026,31.85,28.58333334,0.104574859
SHGD_DH_027,30.78333334,26,0.155116615
SHGD_DH_029,34,30.33333333,0.108653846
SHGD_DH_032,31.6,27.68333334,0.120091645
SHGD_DH_033,29,23.68333333,0.179788929
SHGD_DH_034,33.66666667,30.5,0.093799136
SHGD_DH_035,25.75,24.16666667,0.061139592
SHGD_DH_036,28.83333333,28.16666667,0.023128343
SHGD_DH_037,25,21,0.16
SHGD_DH_039,29.33333333,22.51666667,0.232386364
SHGD_DH_040,28.66666667,22.66666667,0.207251082
SHGD_DH_042,34.66666667,29.08333334,0.159352652
SHGD_DH_043,30.91666667,20.91666667,0.323602069
SHGD_DH_044,24.66666667,23.63333334,0.041885965
SHGD_DH_045,36,31.33333333,0.12962963
SHGD_DH_046,35.41666667,32.08333333,0.093522949
SHGD_DH_049,33.16666667,28.66666667,0.134979737
SHGD_DH_052,29.9,27.08333334,0.09429999
SHGD_DH_053,26.58333333,23.33333334,0.120094749
SHGD_DH_056,27.33333334,22.45,0.179228023
SHGD_DH_057,36.41666667,35,0.038604944
SHGD_DH_059,28.05,23.5,0.162281817
SHGD_DH_060,29.06666667,20.58333334,0.294048375
SHGD_DH_061,30.33333334,25.16666667,0.171753876
SHGD_DH_063,28.08333334,19.16666667,0.317448578
SHGD_DH_065,29.5,24.5,0.169309463
SHGD_DH_067,26.26666667,23.21666667,0.11707604
SHGD_DH_068,30.5,24.83333334,0.183548851
SHGD_DH_070,37.86666667,28.06666667,0.258113559
SHGD_DH_073,32.16666667,27.25,0.152616592
SHGD_DH_074,28.16666667,26.33333333,0.065018315
SHGD_DH_075,31.66666667,12.33333333,0.610526316
SHGD_DH_076,23.33333333,20.33333333,0.128571429
SHGD_DH_078,27.75,23.83333334,0.140742618
SHGD_DH_079,34.33333333,24.31666667,0.290735849
SHGD_DH_081,34.75,33.16666667,0.039183938
SHGD_DH_082,31.66666667,31.33333333,0.010526316
SHGD_DH_083,34.58333333,27.5,0.205177061
SHGD_DH_085,33,27.83333334,0.154982116
SHGD_DH_087,29.66666667,22.66666667,0.236099257
SHGD_DH_092,27,21.08333334,0.2125153
SHGD_DH_093,35.41666667,30.7,0.132646642
SHGD_DH_095,25.63333334,22.83333334,0.108045393
SHGD_DH_096,25.33333333,23.33333333,0.078947368
SHGD_DH_097,35.53333333,28.75,0.190447789
SHGD_DH_099,26.41666667,20.25,0.233674363
SHGD_DH_100,29.43333334,24.16666667,0.182345527
SHGD_DH_103,22.33333333,24,-0.074626866
SHGD_DH_105,27.33333334,25.08333334,0.072823494
SHGD_DH_107,26.08333334,20.25,0.22504085
SHGD_DH_108,28.91666667,23.91666667,0.172945319
SHGD_DH_109,35.5,32.63333334,0.08083765
SHGD_DH_111,28,26.28333334,0.044150538
